scaffold	query	start	end	query_start	query_end	strand	color	length_column	target_len	query_len	dist_upstream	dist_downstream	dist_end_start	dist_end_end	embedded
chr14	chr14	837877	3029339	801872	2904469	+	#3600AC	89806966	2191462	2102597	68760	77215	68760	2260222	False
chr14	chr14	3106554	3565510	2904469	3338725	+	#3600AC	89806966	458956	434256	77215	10080	77215	536171	False
chr14	chr14	3575590	3656978	3367377	3438244	-	#3600AC	89806966	81388	70867	10080	30874	10080	91468	False
chr14	chr14	3687852	12483701	3439047	12208047	+	#3600AC	89806966	8795849	8769000	30874	78212	30874	8826723	False
chr14	chr14	12561913	27073918	12226825	26798174	+	#3600AC	89806966	14512005	14571349	78212	165	78212	14590217	False
chr14	chr14	27074083	60989067	26855460	60767135	+	#3600AC	89806966	33914984	33911675	165	0	165	33915149	False
chr14	chr14	60989067	61876795	60843397	61764002	+	#3600AC	89806966	887728	920605	0	10142	0	887728	False
chr14	chr14	61886937	61953058	61764002	61824887	-	#3600AC	89806966	66121	60885	10142	10134	10142	76263	False
chr14	chr14	61963192	64037685	61824887	63890568	+	#3600AC	89806966	2074493	2065681	10134	-60136	10134	2084627	False
chr14	chr14	63977549	64089227	63908796	63997782	-	#3600AC	89806966	111678	88986	-60136	106792	-60136	51542	False
chr14	chr14	64196019	68031786	63993337	67758338	+	#3600AC	89806966	3835767	3765001	106792	68497	106792	3942559	False
chr14	chr14	68100283	68268509	68281202	68448708	+	#3600AC	89806966	168226	167506	68497	118450	68497	236723	False
chr14	chr14	68386959	68551419	68123402	68280569	-	#3600AC	89806966	164460	157167	118450	70770	118450	282910	False
chr14	chr14	68622189	68773715	68485946	68631180	+	#3600AC	89806966	151526	145234	70770	13588	70770	222296	False
chr14	chr14	68787303	70143917	68682108	70045860	+	#3600AC	89806966	1356614	1363752	13588	95117	13588	1370202	False
chr14	chr14	70239034	90021302	70093776	89806965	+	#3600AC	89806966	19782268	19713189	95117		95117	19877385	False
chr15	chr15	0	4043689	18022	3948313	+	#7FBF7F	59263546	4043689	3930291		0			
chr15	chr15	4043689	8768191	7468078	12185599	-	#7FBF7F	59263546	4724502	4717521	0	100528	0	4724502	False
chr15	chr15	8868719	12037500	4250722	7407451	-	#7FBF7F	59263546	3168781	3156729	100528	905	100528	3269309	False
chr15	chr15	12038405	12332738	3954699	4250207	+	#7FBF7F	59263546	294333	295508	905	4460	905	295238	False
chr15	chr15	12337198	13104308	12185601	12952457	+	#7FBF7F	59263546	767110	766856	4460	123568	4460	771570	False
chr15	chr15	13227876	38857718	12971509	38512407	+	#7FBF7F	59263546	25629842	25540898	123568	0	123568	25753410	False
chr15	chr15	38857718	59551624	38562419	59159440	+	#7FBF7F	59263546	20693906	20597021	0	70585	0	20693906	False
chr15	chr15	59622209	59722580	59169530	59263546	-	#7FBF7F	59263546	100371	94016	70585		70585	170956	False
chr16	chr16'	0	13260241	275	13180756	+	#FF7F00	67353800	13260241	13180481		86769			
chr16	chr16'	13347010	28327623	13203097	28113484	+	#FF7F00	67353800	14980613	14910387	86769	69242	86769	15067382	False
chr16	chr16'	28396865	30704622	28114207	30404262	+	#FF7F00	67353800	2307757	2290055	69242	34165	69242	2376999	False
chr16	chr16'	30738787	31096261	30505385	30860911	+	#FF7F00	67353800	357474	355526	34165	59888	34165	391639	False
chr16	chr16'	31156149	34344191	30872335	34076510	+	#FF7F00	67353800	3188042	3204175	59888	122229	59888	3247930	False
chr16	chr16'	34466420	43863425	34099722	43422093	+	#FF7F00	67353800	9397005	9322371	122229	147840	122229	9519234	False
chr16	chr16'	44011265	65080223	43599902	64691387	+	#FF7F00	67353800	21068958	21091485	147840	37742	147840	21216798	False
chr16	chr16'	65117965	67763351	64749904	67351491	+	#FF7F00	67353800	2645386	2601587	37742		37742	2683128	False
chr17	chr17	86	672717	45577	678040	+	#007FFF	57480755	672631	632463		116352			
chr17	chr17	789069	2791671	676772	2730653	+	#007FFF	57480755	2002602	2053881	116352	181429	116352	2118954	False
chr17	chr17	2973100	3101988	2979522	3122431	+	#007FFF	57480755	128888	142909	181429	104903	181429	310317	False
chr17	chr17	3206891	3701387	3158665	3668614	+	#007FFF	57480755	494496	509949	104903	794	104903	599399	False
chr17	chr17	3702181	3761707	3950856	4001312	-	#007FFF	57480755	59526	50456	794	109847	794	60320	False
chr17	chr17	3871554	4195070	4115714	4420075	+	#007FFF	57480755	323516	304361	109847	90705	109847	433363	False
chr17	chr17	4285775	4667427	4456249	4867302	+	#007FFF	57480755	381652	411053	90705	94770	90705	472357	False
chr17	chr17	4762197	7398081	4867302	7483798	+	#007FFF	57480755	2635884	2616496	94770	0	94770	2730654	False
chr17	chr17	7398081	10802902	7574999	10939345	+	#007FFF	57480755	3404821	3364346	0	21289	0	3404821	False
chr17	chr17	10824191	11407800	11004437	11593072	+	#007FFF	57480755	583609	588635	21289	0	21289	604898	False
chr17	chr17	11407800	20236804	11668072	20514559	+	#007FFF	57480755	8829004	8846487	0	208301	0	8829004	False
chr17	chr17	20445105	20555451	20898509	21005818	-	#007FFF	57480755	110346	107309	208301	-3135	208301	318647	False
chr17	chr17	20552316	54282599	21005818	54627838	+	#007FFF	57480755	33730283	33622020	-3135	131184	-3135	33727148	False
chr17	chr17	54413783	56236331	54627838	56408751	+	#007FFF	57480755	1822548	1780913	131184	50804	131184	1953732	False
chr17	chr17	56287135	56967792	56461517	57107021	+	#007FFF	57480755	680657	645504	50804	235517	50804	731461	False
chr17	chr17	57203309	57606852	57107021	57475919	+	#007FFF	57480755	403543	368898	235517		235517	639060	False
chr18	chr18'	6858	9106135	0	9002476	+	#FF00FF	39344853	9099277	9002476		54287			
chr18	chr18'	9160422	9237157	9034965	9101041	+	#FF00FF	39344853	76735	66076	54287	119078	54287	131022	False
chr18	chr18'	9356235	15865556	9086768	15558314	+	#FF00FF	39344853	6509321	6471546	119078	333195	119078	6628399	False
chr18	chr18'	16198751	18387925	15749540	17999615	+	#FF00FF	39344853	2189174	2250075	333195	495	333195	2522369	False
chr18	chr18'	18388420	22802762	18085196	22567708	+	#FF00FF	39344853	4414342	4482512	495	5407	495	4414837	False
chr18	chr18'	22808169	22978793	22587992	22755710	-	#FF00FF	39344853	170624	167718	5407	22508	5407	176031	False
chr18	chr18'	23001301	23944175	22758209	23688784	+	#FF00FF	39344853	942874	930575	22508	20855	22508	965382	False
chr18	chr18'	23965030	36802627	23739366	36610432	+	#FF00FF	39344853	12837597	12871066	20855	343	20855	12858452	False
chr18	chr18'	36802970	39137524	36710542	39002567	+	#FF00FF	39344853	2334554	2292025	343	0	343	2334897	False
chr18	chr18'	39137524	39190701	39138989	39197285	+	#FF00FF	39344853	53177	58296	0		0	53177	False
chr2	chr2'	2	2071518	2080	2004703	+	#FC307A	216772412	2071516	2002623		68273			
chr2	chr2'	2139791	25459739	2004703	25320811	+	#FC307A	216772412	23319948	23316108	68273	81179	68273	23388221	False
chr2	chr2'	25540918	45689021	25330456	45542034	+	#FC307A	216772412	20148103	20211578	81179	7368	81179	20229282	False
chr2	chr2'	45696389	58636854	45723731	58678768	+	#FC307A	216772412	12940465	12955037	7368	-48702	7368	12947833	False
chr2	chr2'	58588152	65995209	58678768	66064558	+	#FC307A	216772412	7407057	7385790	-48702	0	-48702	7358355	False
chr2	chr2'	65995209	82596922	66173460	82783173	+	#FC307A	216772412	16601713	16609713	0	194990	0	16601713	False
chr2	chr2'	82791912	83033786	82847017	83089491	+	#FC307A	216772412	241874	242474	194990	61768	194990	436864	False
chr2	chr2'	83095554	147316031	83124292	147408217	+	#FC307A	216772412	64220477	64283925	61768	-1182	61768	64282245	False
chr2	chr2'	147314849	147535833	147407224	147620545	-	#FC307A	216772412	220984	213321	-1182	-113	-1182	219802	False
chr2	chr2'	147535720	156900644	147620545	156987321	+	#FC307A	216772412	9364924	9366776	-113	5	-113	9364811	False
chr2	chr2'	156900649	161130856	157042589	161295597	+	#FC307A	216772412	4230207	4253008	5	106499	5	4230212	False
chr2	chr2'	161237355	168254076	161388016	168448840	+	#FC307A	216772412	7016721	7060824	106499	25045	106499	7123220	False
chr2	chr2'	168279121	168355388	168470535	168547956	-	#FC307A	216772412	76267	77421	25045	0	25045	101312	False
chr2	chr2'	168355388	196304201	168540768	196561980	+	#FC307A	216772412	27948813	28021212	0	68975	0	27948813	False
chr2	chr2'	196373176	196501377	196624165	196754395	+	#FC307A	216772412	128201	130230	68975	59261	68975	197176	False
chr2	chr2'	196560638	204054865	196825894	204351764	+	#FC307A	216772412	7494227	7525870	59261	149759	59261	7553488	False
chr2	chr2'	204204624	204910596	204509244	205211670	+	#FC307A	216772412	705972	702426	149759	142745	149759	855731	False
chr2	chr2'	205053341	205206651	205527681	205645851	+	#FC307A	216772412	153310	118170	142745	21232	142745	296055	False
chr2	chr2'	205227883	205539191	205594757	205849527	+	#FC307A	216772412	311308	254770	21232	123025	21232	332540	False
chr2	chr2'	205662216	206097203	205906600	206369022	+	#FC307A	216772412	434987	462422	123025	22922	123025	558012	False
chr2	chr2'	206120125	209952001	206420273	210215702	+	#FC307A	216772412	3831876	3795429	22922	7641	22922	3854798	False
chr2	chr2'	209959642	216441385	210297190	216772349	+	#FC307A	216772412	6481743	6475159	7641		7641	6489384	False
chr3	chr3'	12221	41005597	0	40910469	+	#7FFF00	194718364	40993376	40910469		50016			
chr3	chr3'	41055613	41146114	40905567	40986292	-	#7FFF00	194718364	90501	80725	50016	-4899	50016	140517	False
chr3	chr3'	41141215	62572201	40997647	62471120	+	#7FFF00	194718364	21430986	21473473	-4899	145513	-4899	21426087	False
chr3	chr3'	62717714	78396358	62526406	78231650	+	#7FFF00	194718364	15678644	15705244	145513	-2583	145513	15824157	False
chr3	chr3'	78393775	78447278	78262573	78316363	-	#7FFF00	194718364	53503	53790	-2583	3197	-2583	50920	False
chr3	chr3'	78450475	80133678	78316507	80011666	+	#7FFF00	194718364	1683203	1695159	3197	50831	3197	1686400	False
chr3	chr3'	80184509	81085808	80028940	80928125	+	#7FFF00	194718364	901299	899185	50831	217081	50831	952130	False
chr3	chr3'	81302889	82477952	80928125	82136697	+	#7FFF00	194718364	1175063	1208572	217081	105982	217081	1392144	False
chr3	chr3'	82583934	82655450	82162005	82240733	+	#7FFF00	194718364	71516	78728	105982	52195	105982	177498	False
chr3	chr3'	82707645	83100185	82295770	82684880	+	#7FFF00	194718364	392540	389110	52195	12	52195	444735	False
chr3	chr3'	83100197	170749629	82770389	170525866	+	#7FFF00	194718364	87649432	87755477	12	35592	12	87649444	False
chr3	chr3'	170785221	170836747	170525866	170577320	-	#7FFF00	194718364	51526	51454	35592	5957	35592	87118	False
chr3	chr3'	170842704	195015583	170577320	194716865	+	#7FFF00	194718364	24172879	24139545	5957		5957	24178836	False
chr4	chr4'	0	9627878	21992	9562158	+	#8F5B6C	189801203	9627878	9540166		50178			
chr4	chr4'	9678056	63925245	9562159	63616298	+	#8F5B6C	189801203	54247189	54054139	50178	139081	50178	54297367	False
chr4	chr4'	64064326	64128216	63649859	63714533	+	#8F5B6C	189801203	63890	64674	139081	148459	139081	202971	False
chr4	chr4'	64276675	64343568	63941223	63995524	-	#8F5B6C	189801203	66893	54301	148459	137487	148459	215352	False
chr4	chr4'	64481055	76486600	64024614	76053697	+	#8F5B6C	189801203	12005545	12029083	137487	58516	137487	12143032	False
chr4	chr4'	76545116	80588858	76053697	80091441	+	#8F5B6C	189801203	4043742	4037744	58516	63278	58516	4102258	False
chr4	chr4'	80652136	80743613	80133707	80233288	+	#8F5B6C	189801203	91477	99581	63278	71147	63278	154755	False
chr4	chr4'	80814760	80883232	80333181	80389819	+	#8F5B6C	189801203	68472	56638	71147	21752	71147	139619	False
chr4	chr4'	80904984	80974762	80262697	80332172	-	#8F5B6C	189801203	69778	69475	21752	0	21752	91530	False
chr4	chr4'	80974762	81511286	80389819	80929754	+	#8F5B6C	189801203	536524	539935	0	23905	0	536524	False
chr4	chr4'	81535191	83211110	81024944	82713242	+	#8F5B6C	189801203	1675919	1688298	23905	62873	23905	1699824	False
chr4	chr4'	83273983	83340520	82714423	82781003	+	#8F5B6C	189801203	66537	66580	62873	90293	62873	129410	False
chr4	chr4'	83430813	84318782	82781149	83687838	+	#8F5B6C	189801203	887969	906689	90293	21275	90293	978262	False
chr4	chr4'	84340057	88418128	83745030	87775916	+	#8F5B6C	189801203	4078071	4030886	21275	35279	21275	4099346	False
chr4	chr4'	88453407	88589248	87832189	87922834	+	#8F5B6C	189801203	135841	90645	35279	65598	35279	171120	False
chr4	chr4'	88654846	88979869	87932960	88238256	+	#8F5B6C	189801203	325023	305296	65598	78249	65598	390621	False
chr4	chr4'	89058118	90770980	88278089	89954413	+	#8F5B6C	189801203	1712862	1676324	78249	63	78249	1791111	False
chr4	chr4'	90771043	90836526	89954413	90010088	-	#8F5B6C	189801203	65483	55675	63	37731	63	65546	False
chr4	chr4'	90874257	96944275	90008984	96080130	+	#8F5B6C	189801203	6070018	6071146	37731	24	37731	6107749	False
chr4	chr4'	96944299	99358527	96142866	98604135	+	#8F5B6C	189801203	2414228	2461269	24	60048	24	2414252	False
chr4	chr4'	99418575	115954325	98649905	115227090	+	#8F5B6C	189801203	16535750	16577185	60048	48724	60048	16595798	False
chr4	chr4'	116003049	144784070	115278519	144091995	+	#8F5B6C	189801203	28781021	28813476	48724	6733	48724	28829745	False
chr4	chr4'	144790803	144909992	63866852	63940712	-	#8F5B6C	189801203	119189	73860	6733	45422	6733	125922	False
chr4	chr4'	144955414	154161744	144092339	153335214	+	#8F5B6C	189801203	9206330	9242875	45422	24230	45422	9251752	False
chr4	chr4'	154185974	187599478	153387934	186696108	+	#8F5B6C	189801203	33413504	33308174	24230	90485	24230	33437734	False
chr4	chr4'	187689963	189476860	186698225	188427796	+	#8F5B6C	189801203	1786897	1729571	90485	108958	90485	1877382	False
chr4	chr4'	189585818	190998044	188427796	189801203	+	#8F5B6C	189801203	1412226	1373407	108958		108958	1521184	False
chr5	chr5'	33525	771536	272046	966691	+	#88E1FE	154057969	738011	694645		195673			
chr5	chr5'	967209	1140726	1075807	1229290	+	#88E1FE	154057969	173517	153483	195673	87913	195673	369190	False
chr5	chr5'	1228639	1663189	1292685	1726258	+	#88E1FE	154057969	434550	433573	87913	131675	87913	522463	False
chr5	chr5'	1794864	2245653	1726259	2195876	+	#88E1FE	154057969	450789	469617	131675	1706	131675	582464	False
chr5	chr5'	2247359	2359358	2190799	2296536	-	#88E1FE	154057969	111999	105737	1706	420	1706	113705	False
chr5	chr5'	2359778	2926737	2300648	2793413	+	#88E1FE	154057969	566959	492765	420	-41384	420	567379	False
chr5	chr5'	2885353	3094719	2867928	3038926	+	#88E1FE	154057969	209366	170998	-41384	5046	-41384	167982	False
chr5	chr5'	3099765	3216112	3133045	3233516	+	#88E1FE	154057969	116347	100471	5046	51604	5046	121393	False
chr5	chr5'	3267716	3610963	3262855	3592679	+	#88E1FE	154057969	343247	329824	51604	4	51604	394851	False
chr5	chr5'	3610967	4126343	3592698	4031098	-	#88E1FE	154057969	515376	438400	4	2	4	515380	False
chr5	chr5'	4126345	5456252	4031098	5258925	+	#88E1FE	154057969	1329907	1227827	2	1659	2	1329909	False
chr5	chr5'	5457911	6004820	5319610	5885551	+	#88E1FE	154057969	546909	565941	1659	45734	1659	548568	False
chr5	chr5'	6050554	6282021	5947970	6180824	+	#88E1FE	154057969	231467	232854	45734	42654	45734	277201	False
chr5	chr5'	6324675	6441171	6161625	6317516	+	#88E1FE	154057969	116496	155891	42654	72601	42654	159150	False
chr5	chr5'	6513772	7547706	6367274	7372731	+	#88E1FE	154057969	1033934	1005457	72601	239909	72601	1106535	False
chr5	chr5'	7787615	46261211	7433347	45882093	+	#88E1FE	154057969	38473596	38448746	239909	0	239909	38713505	False
chr5	chr5'	46261211	73700985	46038806	73404192	+	#88E1FE	154057969	27439774	27365386	0	1255	0	27439774	False
chr5	chr5'	73702240	73757782	73404195	73467100	-	#88E1FE	154057969	55542	62905	1255	10645	1255	56797	False
chr5	chr5'	73768427	76735676	73467102	76433327	+	#88E1FE	154057969	2967249	2966225	10645	97648	10645	2977894	False
chr5	chr5'	76833324	76886663	76421619	76486206	+	#88E1FE	154057969	53339	64587	97648	1524	97648	150987	False
chr5	chr5'	76888187	77058898	76574373	76742298	+	#88E1FE	154057969	170711	167925	1524	74761	1524	172235	False
chr5	chr5'	77133659	154442010	76755725	154057963	+	#88E1FE	154057969	77308351	77302238	74761		74761	77383112	False
chr6	chr6'	46373	16584543	50	16508173	+	#9143FA	147683252	16538170	16508123		81295			
chr6	chr6'	16665838	68239985	16512642	68258370	+	#9143FA	147683252	51574147	51745728	81295	-43060	81295	51655442	False
chr6	chr6'	68196925	82526238	68265922	82570969	+	#9143FA	147683252	14329313	14305047	-43060	60015	-43060	14286253	False
chr6	chr6'	82586253	85963946	82648225	85988324	+	#9143FA	147683252	3377693	3340099	60015	114501	60015	3437708	False
chr6	chr6'	86078447	89424621	85988328	89332090	+	#9143FA	147683252	3346174	3343762	114501	167242	114501	3460675	False
chr6	chr6'	89591863	115242206	89417006	115065793	+	#9143FA	147683252	25650343	25648787	167242	-43698	167242	25817585	False
chr6	chr6'	115198508	115269008	115065793	115145105	-	#9143FA	147683252	70500	79312	-43698	35728	-43698	26802	False
chr6	chr6'	115304736	118578574	115136695	118432342	+	#9143FA	147683252	3273838	3295647	35728	-9619	35728	3309566	False
chr6	chr6'	118568955	118641849	118518432	118596860	+	#9143FA	147683252	72894	78428	-9619	-13191	-9619	63275	False
chr6	chr6'	118628658	118863502	118640970	118878073	+	#9143FA	147683252	234844	237103	-13191	109325	-13191	221653	False
chr6	chr6'	118972827	119438314	119111667	119584565	+	#9143FA	147683252	465487	472898	109325	252132	109325	574812	False
chr6	chr6'	119690446	120290810	119754313	120419565	+	#9143FA	147683252	600364	665252	252132	-1447	252132	852496	False
chr6	chr6'	120289363	120364908	120372440	120431538	+	#9143FA	147683252	75545	59098	-1447	-6564	-1447	74098	False
chr6	chr6'	120358344	123483116	120388551	123425743	+	#9143FA	147683252	3124772	3037192	-6564	99659	-6564	3118208	False
chr6	chr6'	123582775	147319800	123426476	147215509	+	#9143FA	147683252	23737025	23789033	99659	68987	99659	23836684	False
chr6	chr6'	147388787	147784891	147265698	147682959	+	#9143FA	147683252	396104	417261	68987		68987	465091	False
chr7	chr7'	251814	361925	282406	369928	+	#4FA101	143641668	110111	87522		59572			
chr7	chr7'	421497	519322	392945	496932	+	#4FA101	143641668	97825	103987	59572	221453	59572	157397	False
chr7	chr7'	740775	858664	554934	635307	+	#4FA101	143641668	117889	80373	221453	16921	221453	339342	False
chr7	chr7'	875585	1059880	715994	864452	-	#4FA101	143641668	184295	148458	16921	1352	16921	201216	False
chr7	chr7'	1061232	12902106	886203	12760111	+	#4FA101	143641668	11840874	11873908	1352	71983	1352	11842226	False
chr7	chr7'	12974089	69169475	12805539	68963560	+	#4FA101	143641668	56195386	56158021	71983	0	71983	56267369	False
chr7	chr7'	69169475	69260522	68964513	69057793	-	#4FA101	143641668	91047	93280	0	70791	0	91047	False
chr7	chr7'	69331313	73708417	69057793	73353641	+	#4FA101	143641668	4377104	4295848	70791	65245	70791	4447895	False
chr7	chr7'	73773662	92876706	73361339	92411815	+	#4FA101	143641668	19103044	19050476	65245	230092	65245	19168289	False
chr7	chr7'	93106798	94750390	92690979	94463942	+	#4FA101	143641668	1643592	1772963	230092	59066	230092	1873684	False
chr7	chr7'	94809456	94897964	94478029	94544754	+	#4FA101	143641668	88508	66725	59066	204489	59066	147574	False
chr7	chr7'	95102453	95685896	94759251	95358364	+	#4FA101	143641668	583443	599113	204489	0	204489	787932	False
chr7	chr7'	95685896	121084656	95424120	120869470	+	#4FA101	143641668	25398760	25445350	0	970	0	25398760	False
chr7	chr7'	121085626	121209339	120873292	121011669	-	#4FA101	143641668	123713	138377	970	110	970	124683	False
chr7	chr7'	121209449	121617684	121011701	121444597	+	#4FA101	143641668	408235	432896	110	98062	110	408345	False
chr7	chr7'	121715746	122386389	121444598	122080267	+	#4FA101	143641668	670643	635669	98062	51060	98062	768705	False
chr7	chr7'	122437449	142081839	122083857	141720827	+	#4FA101	143641668	19644390	19636970	51060	74152	51060	19695450	False
chr7	chr7'	142155991	144086785	141720827	143641563	+	#4FA101	143641668	1930794	1920736	74152		74152	2004946	False
chr8	chr8'	3847	12442469	4	12328363	+	#00FF7F	137878594	12438622	12328359		91887			
chr8	chr8'	12534356	12852829	12426909	12777692	+	#00FF7F	137878594	318473	350783	91887	3158	91887	410360	False
chr8	chr8'	12855987	27948817	12706385	27795872	+	#00FF7F	137878594	15092830	15089487	3158	9062	3158	15095988	False
chr8	chr8'	27957879	48821347	27976384	48866451	+	#00FF7F	137878594	20863468	20890067	9062	187047	9062	20872530	False
chr8	chr8'	49008394	49156003	48867885	48995803	-	#00FF7F	137878594	147609	127918	187047	117814	187047	334656	False
chr8	chr8'	49273817	50000238	49216901	49957550	+	#00FF7F	137878594	726421	740649	117814	61847	117814	844235	False
chr8	chr8'	50062085	65845644	50085304	65877281	+	#00FF7F	137878594	15783559	15791977	61847	101799	61847	15845406	False
