strand	qName	qStart	qEnd	tName	tStart	tEnd	tHitLen	qHitLen	synteny_block_id	type	connector_color	connector_zorder
+	chr14'	60994230	61950199	chr14	60989067	61876795	887728	955969	SB_76	normal	default	0
-	chr14'	61950199	62011072	chr14	61886937	61953058	66121	60873	SB_75	inversion	default	0
+	chr14'	62011072	64038091	chr14	61963192	63979154	2015962	2027019	SB_74	normal	default	0
-	chr14'	64088484	64170518	chr14	63977549	64089246	111697	82034	SB_73	inversion	default	0
+	chr14'	64165889	67985631	chr14	64196019	68031786	3835767	3819742	SB_72	normal	default	0
+	chr14'	68118553	68212677	chr14	68455422	68551419	95997	94124	SB_71	normal	default	0
-	chr14'	68276363	68481344	chr14	68103516	68282126	178610	204981	SB_70	inversion	default	0
+	chr14'	68511646	70092279	chr14	68585182	70143917	1558735	1580633	SB_69	normal	default	0
+	chr14'	70183431	89884182	chr14	70239034	90040268	19801234	19700751	SB_66	normal	default	0
+	chr14'	89762845	89819811	chr9	42356537	42417365	60828	56966	SB_67	translocation	default	0
+	chr15	22809	3923571	chr15	234	4043689	4043455	3900762	SB_93	normal	default	0
+	chr15	3963786	4244457	chr15	12038405	12319846	281441	280671	SB_94	normal	default	0
-	chr15	4271212	7454396	chr15	8868719	12037867	3169148	3183184	SB_95	inversion	red	20
-	chr15	7596524	12359108	chr15	4043689	8768191	4724502	4762584	SB_96	inversion	red	20
+	chr15	12359739	13105355	chr15	12336966	13104308	767342	745616	SB_97	normal	default	0
+	chr15	13108625	52914592	chr15	13228142	53011703	39783561	39805967	SB_99	normal	default	0
+	chr15	52993667	59378870	chr15	53011718	59551624	6539906	6385203	SB_101	normal	default	0
-	chr15	59389005	59487806	chr15	59622209	59722580	100371	98801	SB_102	inversion	default	0
+	chr16'	0	30749571	chr16	70	30912367	30912297	30749571	SB_92	normal	default	0
-	chr16'	30761721	30990210	chr16	30906140	31155836	249696	228489	SB_91	inversion	default	0
+	chr16'	30994096	34226395	chr16	31156149	34381155	3225006	3232299	SB_90	normal	default	0
+	chr16'	34261934	43636561	chr16	34456408	43863425	9407017	9374627	SB_89	normal	default	0
+	chr16'	43818860	64926485	chr16	44017768	65080223	21062455	21107625	SB_88	normal	default	0
+	chr16'	64998428	67541439	chr16	65117965	67766256	2648291	2543011	SB_87	normal	default	0
+	chr17'	2604	2766426	chr17	86	2871076	2870990	2763822	SB_118	normal	default	0
+	chr17'	2826796	2982903	chr17	2939162	3101988	162826	156107	SB_117	normal	default	0
+	chr17'	3016881	3592023	chr17	3195980	3706766	510786	575142	SB_116	normal	default	0
+	chr17'	3566991	3674396	chr17	3769504	3839739	70235	107405	SB_115	normal	default	0
+	chr17'	3951689	4210122	chr17	3871554	4195070	323516	258433	SB_114	normal	default	0
+	chr17'	4219432	4597597	chr17	4287403	4668704	381301	378165	SB_113	normal	default	0
+	chr17'	4597597	10642861	chr17	4762193	10824720	6062527	6045264	SB_112	normal	default	0
+	chr17'	10692545	11269670	chr17	10824191	11407800	583609	577125	SB_111	normal	default	0
+	chr17'	11339670	20200962	chr17	11407800	20236804	8829004	8861292	SB_110	normal	default	0
-	chr17'	20304461	20386305	chr17	20236161	20293596	57435	81844	SB_108	inversion	default	0
+	chr17'	20463644	20531304	chr17	20383124	20445095	61971	67660	SB_107	normal	default	0
-	chr17'	20526879	20638252	chr17	20445105	20555451	110346	111373	SB_106	inversion	default	0
+	chr17'	20638252	56302120	chr17	20552316	56236532	35684216	35663868	SB_104	normal	default	0
+	chr17'	56350352	57615380	chr17	56287135	57599241	1312106	1265028	SB_103	normal	default	0
+	chr18	54	9089828	chr18	2961	9106135	9103174	9089774	SB_119	normal	default	0
+	chr18	9111730	9256097	chr18	9160422	9296134	135712	144367	SB_120	normal	default	0
+	chr18	9260262	15736526	chr18	9370905	15861299	6490394	6476264	SB_121	normal	default	0
+	chr18	15802080	18220716	chr18	16052763	18387925	2335162	2418636	SB_122	normal	default	0
+	chr18	18302577	22772238	chr18	18388420	22788484	4400064	4469661	SB_123	normal	default	0
-	chr18	22788917	22956737	chr18	22808169	22978793	170624	167820	SB_124	inversion	default	0
+	chr18	23015655	23972842	chr18	22992121	23944175	952054	957187	SB_125	normal	default	0
+	chr18	24197064	36965045	chr18	23944824	36802954	12858130	12767981	SB_126	normal	default	0
+	chr18	37064328	39269184	chr18	36802970	39137524	2334554	2204856	SB_127	normal	default	0
+	chr18	39397254	39451049	chr18	39137524	39190701	53177	53795	SB_128	normal	default	0
+	chr2'	2611	40946917	chr2	2	40937723	40937721	40944306	SB_27	normal	default	0
+	chr2'	40946917	45621332	chr2	41000961	45689021	4688060	4674415	SB_26	normal	default	0
-	chr2'	45546676	45673913	chr2	45647875	45780634	132759	127237	SB_25	inversion	default	0
+	chr2'	45801239	58802650	chr2	45689149	58636854	12947705	13001411	SB_24	normal	default	0
+	chr2'	58802650	66181996	chr2	58588152	65995209	7407057	7379346	SB_23	normal	default	0
+	chr2'	66289392	82978049	chr2	65995209	82638989	16643780	16688657	SB_22	normal	default	0
+	chr2'	82996301	83219953	chr2	82791912	83033786	241874	223652	SB_21	normal	default	0
+	chr2'	83268397	98848851	chr2	83095554	98653286	15557732	15580454	SB_20	normal	default	0
-	chr2'	98888921	98957456	chr2	98653286	98712847	59561	68535	SB_19	inversion	default	0
+	chr2'	98958216	147758569	chr2	98712847	147316431	48603584	48800353	SB_18	normal	default	0
-	chr2'	147756861	147964355	chr2	147314849	147535833	220984	207494	SB_17	inversion	default	0
+	chr2'	147964355	157339960	chr2	147535720	156900642	9364922	9375605	SB_16	normal	default	0
+	chr2'	157420248	161614506	chr2	156900762	161121472	4220710	4194258	SB_15	normal	default	0
+	chr2'	161649699	168653557	chr2	161251537	168254076	7002539	7003858	SB_14	normal	default	0
-	chr2'	168669969	168747516	chr2	168279121	168355388	76267	77547	SB_13	inversion	default	0
+	chr2'	168740389	197033543	chr2	168355388	196501377	28145989	28293154	SB_12	normal	default	0
-	chr2'	197064903	197122284	chr2	196506565	196560638	54073	57381	SB_11	inversion	default	0
+	chr2'	197133967	204662572	chr2	196560638	204120051	7559413	7528605	SB_10	normal	default	0
+	chr2'	204662764	205412315	chr2	204207883	204956369	748486	749551	SB_9	normal	default	0
+	chr2'	205614388	205735522	chr2	205053341	205206651	153310	121134	SB_8	normal	default	0
+	chr2'	205687617	206046668	chr2	205227883	205634128	406245	359051	SB_7	normal	default	0
+	chr2'	206101690	206189527	chr2	205693579	205776726	83147	87837	SB_6	normal	default	0
+	chr2'	206302891	206453249	chr2	205803240	205955533	152293	150358	SB_5	normal	default	0
+	chr2'	206548716	206656627	chr2	206066651	206175401	108750	107911	SB_4	normal	default	0
+	chr2'	206799613	210293777	chr2	206188379	209695442	3507063	3494164	SB_3	normal	default	0
+	chr2'	210348834	216797690	chr2	209754889	216269190	6514301	6448856	SB_2	normal	default	0
+	chr2'	216797690	216853604	chr2	216373375	216428896	55521	55914	SB_1	normal	default	0
+	chr3	0	41039582	chr3	8137	41005597	40997460	41039582	SB_207	normal	default	0
-	chr3	41034687	41115678	chr3	41055613	41146114	90501	80991	SB_208	inversion	default	0
+	chr3	41127045	62755670	chr3	41141215	62572210	21430995	21628625	SB_209	normal	default	0
+	chr3	62758861	68170901	chr3	62721469	68125520	5404051	5412040	SB_210	normal	default	0
+	chr3	68170908	80142275	chr3	68227341	80127749	11900408	11971367	SB_211	normal	default	0
+	chr3	80154958	81063702	chr3	80182036	81085808	903772	908744	SB_212	normal	default	0
+	chr3	81063702	82185426	chr3	81302889	82477947	1175058	1121724	SB_213	normal	default	0
+	chr3	82205250	83106751	chr3	82583934	83458125	874191	901501	SB_214	normal	default	0
+	chr3	83107650	116908652	chr3	83526175	117119295	33593120	33801002	SB_215	normal	default	0
+	chr3	116908652	135287407	chr3	117210759	135542462	18331703	18378755	SB_216	normal	default	0
+	chr3	135287407	137713752	chr3	135693798	138148857	2455059	2426345	SB_217	normal	default	0
+	chr3	137713752	142191265	chr3	138367679	142812866	4445187	4477513	SB_218	normal	default	0
+	chr3	142191265	156795114	chr3	142910796	157423784	14512988	14603849	SB_219	normal	default	0
+	chr3	156795114	170044572	chr3	157493545	170751848	13258303	13249458	SB_220	normal	default	0
-	chr3	170044572	170098585	chr3	170785221	170839316	54095	54013	SB_221	inversion	default	0
+	chr3	170098585	173307555	chr3	170842704	174045815	3203111	3208970	SB_222	normal	default	0
+	chr3	173307583	178351851	chr3	174192764	179234305	5041541	5044268	SB_223	normal	default	0
+	chr3	178352366	194045661	chr3	179340150	195015583	15675433	15693295	SB_224	normal	default	0
+	chr4'	0	7581848	chr4	0	7729232	7729232	7581848	SB_248	normal	default	0
+	chr4'	7581848	50837998	chr4	7889661	51035297	43145636	43256150	SB_247	normal	default	0
+	chr4'	50837998	50902716	chr4	51098764	51163653	64889	64718	SB_246	normal	default	0
+	chr4'	50902716	63604469	chr4	51217798	63925245	12707447	12701753	SB_245	normal	default	0
+	chr4'	63696139	63886053	chr4	64349010	64422289	73279	189914	SB_243	normal	default	0
-	chr4'	63870773	63932294	chr4	64276675	64348354	71679	61521	SB_242	inversion	default	0
+	chr4'	63960484	75125406	chr4	64481055	75575496	11094441	11164922	SB_241	normal	default	0
+	chr4'	75125406	80053275	chr4	75687084	80588760	4901676	4927869	SB_240	normal	default	0
+	chr4'	80108766	80209111	chr4	80652136	80743613	91477	100345	SB_239	normal	default	0
-	chr4'	80206414	80298348	chr4	80814760	80907683	92923	91934	SB_238	inversion	default	0
+	chr4'	80299355	82654902	chr4	80904984	83211110	2306126	2355547	SB_237	normal	default	0
+	chr4'	82697103	86327278	chr4	83433787	87050431	3616644	3630175	SB_236	normal	default	0
-	chr4'	86326788	86389080	chr4	87050778	87112424	61646	62292	SB_235	inversion	default	0
+	chr4'	86389081	87931126	chr4	87117742	88681155	1563413	1542045	SB_234	normal	default	0
+	chr4'	87956971	88296949	chr4	88590142	88992197	402055	339978	SB_233	normal	default	0
+	chr4'	88317023	90006105	chr4	89058118	90770980	1712862	1689082	SB_232	normal	default	0
-	chr4'	90006105	90061849	chr4	90771043	90836526	65483	55744	SB_231	inversion	default	0
+	chr4'	90060744	98666541	chr4	90874257	99358527	8484270	8605797	SB_230	normal	default	0
+	chr4'	98712568	103653497	chr4	99418575	104278919	4860344	4940929	SB_229	normal	default	0
+	chr4'	103657828	116484327	chr4	104390055	117114873	12724818	12826499	SB_228	normal	default	0
+	chr4'	116484327	119457638	chr4	117291321	120247011	2955690	2973311	SB_227	normal	default	0
+	chr4'	119457638	149579767	chr4	120416533	150526618	30110085	30122129	SB_226	normal	default	0
+	chr4'	149636058	189971901	chr4	150541996	190997902	40455906	40335843	SB_225	normal	default	0
+	chr5	73169	754707	chr5	33525	765381	731856	681538	SB_249	normal	default	0
+	chr5	835040	1001909	chr5	967209	1140726	173517	166869	SB_250	normal	default	0
+	chr5	1057902	1505403	chr5	1205882	1676968	471086	447501	SB_251	normal	default	0
+	chr5	1549512	2042887	chr5	1793560	2231542	437982	493375	SB_252	normal	default	0
+	chr5	2134647	2761743	chr5	2241991	2926737	684746	627096	SB_253	normal	default	0
+	chr5	2830652	3023576	chr5	2885332	3094719	209387	192924	SB_254	normal	default	0
+	chr5	3134071	3214513	chr5	3099765	3176122	76357	80442	SB_255	normal	default	0
+	chr5	3286125	3602383	chr5	3267716	3610963	343247	316258	SB_256	normal	default	0
-	chr5	3602402	3909064	chr5	3747646	4126343	378697	306662	SB_257	inversion	default	0
-	chr5	3909064	4086581	chr5	3610967	3790032	179065	177517	SB_258	inversion	default	0
+	chr5	4086581	4462061	chr5	4126345	4496100	369755	375480	SB_259	normal	default	0
+	chr5	4462561	5084675	chr5	4668001	5315367	647366	622114	SB_260	normal	default	0
+	chr5	5126413	5200798	chr5	5377112	5456252	79140	74385	SB_261	normal	default	0
+	chr5	5259664	6065648	chr5	5459875	6282021	822146	805984	SB_262	normal	default	0
+	chr5	6046897	6166352	chr5	6306911	6441171	134260	119455	SB_263	normal	default	0
+	chr5	6225537	7376050	chr5	6523293	7645607	1122314	1150513	SB_264	normal	default	0
+	chr5	7393729	45476847	chr5	7720441	45728196	38007755	38083118	SB_265	normal	default	0
-	chr5	45476847	45565087	chr5	45730579	45781124	50545	88240	SB_266	inversion	default	0
+	chr5	45565087	46052580	chr5	45782036	46261211	479175	487493	SB_267	normal	default	0
+	chr5	46213768	73723702	chr5	46261211	73700985	27439774	27509934	SB_268	normal	default	0
-	chr5	73723705	73779484	chr5	73702240	73757782	55542	55779	SB_269	inversion	default	0
+	chr5	73779486	76750643	chr5	73768427	76733040	2964613	2971157	SB_270	normal	default	0
+	chr5	76828783	76890770	chr5	76833309	76886664	53355	61987	SB_271	normal	default	0
+	chr5	76976892	77153750	chr5	76887964	77058898	170934	176858	SB_272	normal	default	0
+	chr5	77154167	154543657	chr5	77144320	154445693	77301373	77389490	SB_273	normal	default	0
+	chr6	79	16487684	chr6	46373	16584543	16538170	16487605	SB_274	normal	default	0
+	chr6	16624236	27193509	chr6	16683024	27223638	10540614	10569273	SB_275	normal	default	0
+	chr6	27193509	53232287	chr6	27281715	53221923	25940208	26038778	SB_276	normal	default	0
+	chr6	53293044	82660491	chr6	53229943	82526238	29296295	29367447	SB_277	normal	default	0
+	chr6	82737373	86089841	chr6	82586253	85963946	3377693	3352468	SB_278	normal	default	0
+	chr6	86089845	89445330	chr6	86078447	89424621	3346174	3355485	SB_279	normal	default	0
+	chr6	89529902	118853874	chr6	89591863	118857910	29266047	29323972	SB_280	normal	default	0
+	chr6	118948074	119181762	chr6	119153395	119386500	233105	233688	SB_281	normal	default	0
+	chr6	119256600	123050093	chr6	119686193	123483116	3796923	3793493	SB_282	normal	default	0
+	chr6	123050891	146861577	chr6	123582775	147319800	23737025	23810686	SB_283	normal	default	0
+	chr6	146909664	147310750	chr6	147379926	147793978	414052	401086	SB_284	normal	default	0
+	chr7	183509	293597	chr7	252877	361925	109048	110088	SB_285	normal	default	0
+	chr7	322727	627942	chr7	421497	692244	270747	305215	SB_286	normal	default	0
+	chr7	670728	778173	chr7	762637	863321	100684	107445	SB_287	normal	default	0
+	chr7	803917	921478	chr7	675312	743211	67899	117561	SB_288	normal	default	0
-	chr7	1008615	1124453	chr7	882062	1018261	136199	115838	SB_289	inversion	default	0
+	chr7	1171260	12935692	chr7	1061232	12902106	11840874	11764432	SB_290	normal	default	0
+	chr7	12981075	34157479	chr7	12974089	34204398	21230309	21176404	SB_291	normal	default	0
+	chr7	34202500	69252071	chr7	34258634	69164611	34905977	35049571	SB_292	normal	default	0
-	chr7	69252337	69347452	chr7	69169475	69260522	91047	95115	SB_293	inversion	default	0
+	chr7	69347452	73722735	chr7	69331313	73708417	4377104	4375283	SB_294	normal	default	0
-	chr7	73816100	73881333	chr7	73764730	73819415	54685	65233	SB_295	inversion	default	0
+	chr7	73978525	93080380	chr7	73820073	92876706	19056633	19101855	SB_296	normal	default	0
+	chr7	93499035	95308280	chr7	93106798	94750390	1643592	1809245	SB_297	normal	default	0
+	chr7	95322373	95434434	chr7	94809456	94925361	115905	112061	SB_298	normal	default	0
+	chr7	95393150	95454587	chr7	94785429	94864780	79351	61437	SB_299	normal	default	0
+	chr7	95618623	96196767	chr7	95102348	95675611	573263	578144	SB_300	normal	default	0
+	chr7	96252256	121748606	chr7	95685896	121084656	25398760	25496350	SB_301	normal	default	0
-	chr7	121750799	121895978	chr7	121085626	121209333	123707	145179	SB_302	inversion	default	0
+	chr7	121896009	122089441	chr7	121209449	121403898	194449	193432	SB_303	normal	default	0
+	chr7	122089441	122255335	chr7	121466401	121617684	151283	165894	SB_304	normal	default	0
+	chr7	122255336	122971526	chr7	121715746	122386389	670643	716190	SB_305	normal	default	0
+	chr7	123062977	144636885	chr7	122522197	144088725	21566528	21573908	SB_306	normal	default	0
+	chr8	60	12311002	chr8	5137	12442469	12437332	12310942	SB_333	normal	default	0
+	chr8	12404315	12739501	chr8	12532805	12852829	320024	335186	SB_335	normal	default	0
+	chr8	12678791	27868116	chr8	12853334	27960345	15107011	15189325	SB_336	normal	default	0
+	chr8	28007282	44991470	chr8	27964110	44867452	16903342	16984188	SB_337	normal	default	0
+	chr8	45055546	48971992	chr8	44875510	48816674	3941164	3916446	SB_338	normal	default	0
+	chr8	49000476	49174539	chr8	49008394	49186389	177995	174063	SB_339	normal	default	0
+	chr8	49179349	49942640	chr8	49246452	49992444	745992	763291	SB_340	normal	default	0
+	chr8	50189714	52456038	chr8	50062149	52334790	2272641	2266324	SB_341	normal	default	0
+	chr8	52456039	65927439	chr8	52410224	65847442	13437218	13471400	SB_342	normal	default	0
+	chr8	65943721	100528530	chr8	65947443	100450741	34503298	34584809	SB_343	normal	default	0
+	chr8	100862093	101050829	chr8	100720153	100894719	174566	188736	SB_344	normal	default	0
+	chr8	101154796	117129052	chr8	100941930	116843345	15901415	15974256	SB_345	normal	default	0
+	chr8	117157096	138359515	chr8	116928466	138178256	21249790	21202419	SB_346	normal	default	0
+	chr9	6896	12344726	chr9	0	12397859	12397859	12337830	SB_307	normal	default	0
+	chr9	12449965	26195837	chr9	12460038	26157257	13697219	13745872	SB_308	normal	default	0
+	chr9	26195837	42223866	chr9	26260151	42250327	15990176	16028029	SB_309	normal	default	0
-	chr9	42295649	42529149	chr9	42251827	42487802	235975	233500	SB_310	inversion	default	0
-	chr9	42373474	42442527	chr14	89932792	89986317	53525	69053	SB_311	translocation	default	0
+	chr9	42509515	42561299	chr11	104821693	104895691	73998	51784	SB_312	translocation	default	0
-	chr9	42547306	42687721	chr9	42482778	42608398	125620	140415	SB_313	inversion	default	0
+	chr9	42697066	49135066	chr9	42645183	49073439	6428256	6438000	SB_314	normal	default	0
+	chr9	49173739	49438133	chr9	49124915	49354023	229108	264394	SB_315	normal	default	0
-	chr9	49480174	49545387	chr9	49393866	49446669	52803	65213	SB_316	inversion	default	0
+	chr9	49568467	49734253	chr9	49447179	49628574	181395	165786	SB_317	normal	default	0
+	chr9	49813743	50091456	chr9	49668893	49947078	278185	277713	SB_318	normal	default	0
+	chr9	50064198	50189378	chr9	49581227	49674886	93659	125180	SB_319	normal	default	0
+	chr9	50285342	50546607	chr9	49950106	50253770	303664	261265	SB_320	normal	default	0
+	chr9	50586753	53523835	chr9	50183556	53137380	2953824	2937082	SB_321	normal	default	0
+	chr9	53523835	56430513	chr9	53189755	56126670	2936915	2906678	SB_322	normal	default	0
+	chr9	56490633	67526199	chr9	56173839	67097570	10923731	11035566	SB_323	normal	default	0
-	chr9	67567329	67634389	chr9	67107474	67167967	60493	67060	SB_324	inversion	default	0
+	chr9	67634389	67759943	chr9	67167967	67293552	125585	125554	SB_325	normal	default	0
+	chr9	67764979	85668877	chr9	67384095	85230040	17845945	17903898	SB_326	normal	default	0
+	chr9	85687731	85933717	chr9	85330858	85541800	210942	245986	SB_327	normal	default	0
+	chr9	86065425	86237991	chr9	85661374	85861938	200564	172566	SB_328	normal	default	0
+	chr9	86300426	86385014	chr9	85961182	86044930	83748	84588	SB_329	normal	default	0
+	chr9	86385019	87377603	chr9	86106860	87086111	979251	992584	SB_330	normal	default	0
+	chr9	87379371	128409414	chr9	86968820	127870803	40901983	41030043	SB_331	normal	default	0
+	chr9	128489915	140028035	chr9	127882160	139572864	11690704	11538120	SB_332	normal	default	0
+	chrX	2223	965450	chrX	0	966182	966182	963227	SB_129	normal	default	0
+	chrX	1028039	2033781	chrX	1050433	2185665	1135232	1005742	SB_130	normal	default	0
+	chrX	2119906	2322779	chrX	2185963	2385349	199386	202873	SB_131	normal	default	0
+	chrX	2325899	4605240	chrX	2440354	4735963	2295609	2279341	SB_132	normal	default	0
-	chrX	4605240	4780044	chrX	4736012	4881105	145093	174804	SB_133	inversion	default	0
+	chrX	4779529	7688076	chrX	4844628	7715096	2870468	2908547	SB_134	normal	default	0
+	chrX	7738597	8223510	chrX	7716777	8199040	482263	484913	SB_135	normal	default	0
+	chrX	8259510	15829850	chrX	8276218	15867893	7591675	7570340	SB_136	normal	default	0
+	chrX	15913589	21871509	chrX	15995709	21891916	5896207	5957920	SB_137	normal	default	0
-	chrX	21894792	22027811	chrX	21981927	22128936	147009	133019	SB_138	inversion	default	0
+	chrX	22077464	22662863	chrX	22176950	22758015	581065	585399	SB_139	normal	default	0
+	chrX	22779459	24248590	chrX	22768030	24265384	1497354	1469131	SB_140	normal	default	0
+	chrX	24303868	27614702	chrX	24315608	27670487	3354879	3310834	SB_141	normal	default	0
+	chrX	27664804	29611680	chrX	27726647	29641200	1914553	1946876	SB_142	normal	default	0
-	chrX	29610637	29683403	chrX	29640522	29713233	72711	72766	SB_143	inversion	default	0
+	chrX	29661153	32975300	chrX	29697587	32976605	3279018	3314147	SB_144	normal	default	0
+	chrX	32994078	33050193	chrX	33077209	33133133	55924	56115	SB_145	normal	default	0
+	chrX	33050266	44041351	chrX	33188224	44190525	11002301	10991085	SB_146	normal	default	0
-	chrX	44046490	44106159	chrX	44190526	44250707	60181	59669	SB_147	inversion	default	0
+	chrX	44200724	44607151	chrX	44299702	44703333	403631	406427	SB_148	normal	default	0
+	chrX	44666259	44790041	chrX	44703349	44819068	115719	123782	SB_149	normal	default	0
-	chrX	44855367	44912866	chrX	44839433	44899300	59867	57499	SB_150	inversion	default	0
